1,mpitceathly3@behance.net,15.81
2,dhubatsch4@yolasite.com,11.44
3,brickhuss5@mapy.cz,20.42
4,vjorczyk6@cbc.ca,12.88
5,hovey7@google.com.au,23.9
6,sdonke8@joomla.org,3.29
7,jfrankowski9@blogger.com,23.37
8,atoppera@cafepress.com,16.19
9,cscreaseb@senate.gov,19.14
10,rbasilioc@sphinn.com,15.71
11,hkiernand@jugem.jp,22.12
12,droadknighte@oaic.gov.au,6.95
13,bfultonf@tiny.cc,2.36
14,lpaceyg@bloomberg.com,14.59
15,dhammondsh@dedecms.com,0.82
16,adinnagei@economist.com,24.64
17,lphilipsohnj@arizona.edu,17.17
18,sbalassak@intel.com,12.45
19,bkenninghaml@google.fr,12.38
20,ebathamm@msn.com,5.26
21,kpeakn@adobe.com,19.96
22,jmctrusteyo@last.fm,22.81
23,aaughtonp@yellowbook.com,4.47
24,ggarattyq@kickstarter.com,24.38
25,lmilthorper@nifty.com,14.48
26,scossems@apache.org,0.92
27,astudmant@vk.com,9.21
28,hcammiemileu@instagram.com,20.01
29,ggrindlayv@squidoo.com,20.87
30,rjewsonw@thetimes.co.uk,5.86
31,kvigrassx@squidoo.com,12.29
32,kbransomy@google.es,7.99
33,rhavilez@dyndns.org,5.56
34,gsorrel10@ted.com,20.23
35,rsoars11@reuters.com,4.26
36,kbudgeon12@digg.com,16.81
37,kshoebotham13@techcrunch.com,18.66
38,bsimonsen14@prlog.org,20.68
39,sshakelade15@woothemes.com,3.66
40,fandre16@geocities.jp,4.51
41,gtompkinson17@diigo.com,2.66
42,kpalfreeman18@state.gov,6.95
43,omatusov19@cargocollective.com,12.61
44,bcunniffe1a@buzzfeed.com,24.13
45,ubastiman1b@senate.gov,22.58
46,mizkovitch1c@yolasite.com,18.95
47,dcowsby1d@omniture.com,5.43
48,kbransomy@google.es,7.96
49,rhavilez@dyndns.org,2.28
50,gsorrel10@ted.com,0.39
